experiment,model,n_features,fold,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc,mean_absolute_error,mean_squared_error,average_severity_distance,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa
top_10_features,lightgbm,10,3.0,0.5274771932351742,0.5142697781007268,0.5164843351435767,0.5097164700805715,0.5164843351435767,0.3573952312623327,0.7330699144971409,1.399011779400464,0.7330699144971409,0.8118767169870316,0.1881232830129684,0.4459288551364088
top_15_features,lightgbm,15,3.0,0.531002496388426,0.518199950669719,0.5204367729434078,0.513480545563153,0.5204367729434078,0.3621299851029308,0.7247167468424768,1.3781263020029182,0.7247167468424768,0.8152662911184152,0.18473370888158477,0.45374173230341663
top_20_features,lightgbm,20,3.0,0.5326553968640269,0.5186507722448578,0.521828090523587,0.5150391848337513,0.521828090523587,0.36391018531910446,0.7188032597662287,1.3620424123675023,0.7188032597662287,0.8187022630401255,0.1812977369598745,0.45736960034572727
top_30_features,lightgbm,30,3.0,0.5337080859555265,0.5196802901563858,0.5235924731838925,0.5163437288085581,0.5235924731838925,0.36571770659224895,0.7165319473387963,1.3553261323993149,0.7165319473387963,0.8189170259416135,0.18108297405838641,0.4602378519080588
top_all_features,lightgbm,59,3.0,0.53293156409676,0.518931014072099,0.5228465879761119,0.5154793355495211,0.5228465879761119,0.3648310138075737,0.7175295584514227,1.3570891875413191,0.7175295584514227,0.8188575694485827,0.1811424305514173,0.46004154684367293
