pipeline,hamming_loss,micro_f1,macro_f1,weighted_f1,exact_match_ratio,best_val_macro_f1,train_rows
baseline_original,0.124664181610585,0.8382680838417457,0.5080615907546622,0.775113798364856,0.39563484067816124,0.508959292916323,291823
mlsmote_only,0.1269741323892039,0.8378498009670596,0.5191457312727915,0.7791873477957015,0.39362712645001585,0.5190997554864389,311823
focal_asl_only,0.2810997812383063,0.7427796303622902,0.6189359416271462,0.8226330425162137,0.13247675657004693,0.6185596728906028,291823
hybrid_mlsmote_asl,0.29225314949675213,0.735861450726317,0.6125039850244199,0.8206816430266259,0.11801977490573098,0.6124758434887632,311823
