timestamp_s,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,avg_runq_latency_ns,max_runq_latency_ns,minor_faults,kernel_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,label
1774161156.348,82467,14,code,1,1,0,0,70552,3888,3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,83079,0,code,4,4,0,0,615402,8017,11712,0,0,0,0,0,0,0,11,141482732,999812673,4,0,3172,0,0,7,222319120,0,0,0,3,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4359,0,gsd-media-keys,1,1,0,0,35897,2084,2084,0,0,0,3,0,0,0,10,931,2024,3,5,24,40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82611,12,code,2,2,0,0,153518,7624,11812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102096,12,docker,5,5,0,0,820455,13890,35497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,938,3,napi/phy0-0,4,4,0,0,71063,1628,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82794,2,code,5,5,0,0,75991,3899,5640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82390,8,code,45,45,0,0,8299684,9262,15980,27,0,105,133,66512,0,3,99,49425892,1514595127,37,28,121,77,0,21,119736410,13,182955388,0,2,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102096,6,docker,5,5,0,0,1902221,4247,6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,1086,6,auditd,1,1,0,0,176120,3937,3937,0,0,2,11,160,0,0,1,51146,51146,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82619,6,code,1,1,0,0,100368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102089,10,docker,2,2,0,0,448219,19847,35105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102083,0,docker,58,58,0,0,383039,3153,20708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,1510,0,wpa_supplicant,7,7,0,0,1161723,3238,6381,0,0,53,96,530368,0,7,1,17402,17402,1,0,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,96353,2,Web Content,3,3,0,0,364863,11869,18374,0,0,2,11,1024,0,0,83,110393523,1016509937,6,19,6,19,0,48,127023051,3,1016367310,7,12,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4206,4,KMS thread,71,71,0,0,8796019,10687,30887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
