model,strategy,class_weight,smote,sampler_status,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc
random_forest,baseline,False,none,none,0.3159382094078794,0.28335364738912727,0.2871353415505223,0.28335364738912727,0.10582305892198915
random_forest,borderline_smote,False,borderline_smote,borderline_smote_k5,0.3585658096163745,0.28391559713161085,0.29881237142147654,0.3005590905457725,0.12602296154409215
random_forest,class_weight,True,none,none,0.30363578412884096,0.2935413099495306,0.2933818364388811,0.31013938378878236,0.15191766053824077
random_forest,class_weight_smote,True,smote,smote_k5,0.28547428977711203,0.3128017891141804,0.2931206715439002,0.3293169027094642,0.15240202989691606
random_forest,smote,False,smote,smote_k5,0.28005429428984535,0.3026925219104366,0.2868555549093399,0.31921319708632157,0.13637076192146375
