fold,train_rows,test_rows,train_groups,test_groups,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc
1,143998,35894,37,9,0.28037028955914295,0.28128827682591584,0.2808249285885728,0.28128827682591584,0.12004481616895728
2,144202,35690,38,8,0.32381744284919467,0.2957949242626235,0.30539377394564776,0.2957949242626235,0.18468412851286944
3,144115,35777,37,9,0.3495089221728996,0.3196624656967783,0.32641044341036296,0.3196624656967783,0.22109255696495528
4,143912,35980,36,10,0.24986741102581997,0.24892244375851616,0.24939403226255816,0.4978448875170323,-0.0014482908264949912
5,143341,36551,36,10,0.30077519603880054,0.343587698592672,0.3156500624625086,0.343587698592672,0.26228048418557953
