model,strategy,class_weight,smote,sampler_status,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc
lightgbm,baseline,False,none,none,0.33725531549616033,0.2868945045198782,0.28727204361750536,0.30354309604959095,0.10583860596811674
lightgbm,class_weight,True,none,none,0.26044280364678574,0.3927647277053606,0.2555036919789946,0.4080242372357469,0.12288194662179648
random_forest,baseline,False,none,none,0.3159382094078794,0.28335364738912727,0.2871353415505223,0.28335364738912727,0.10582305892198915
random_forest,class_weight,True,none,none,0.30363578412884096,0.2935413099495306,0.2933818364388811,0.31013938378878236,0.15191766053824077
xgboost,baseline,False,none,none,0.37145134233360944,0.2908580627966688,0.29467843975774966,0.2908580627966688,0.14410294728044484
xgboost,class_weight,True,none,none,0.265077527902888,0.48270643859485113,0.24669071105945237,0.5128802534374739,0.08357266146373142
