scenario,include_leakage,include_latency_count,n_features,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc
with_leakage,True,True,62,0.9986791607935153,0.9837068933380728,0.9909405831959069,0.9837068933380728,0.9961624893572202
without_leakage,False,True,59,0.38104697419437517,0.3971680717302252,0.3884188950224631,0.3971680717302252,0.4991017171756038
without_latency_count,False,False,58,0.381028601327464,0.39586369489416967,0.38775768800954946,0.39586369489416967,0.4958385458096287
