strategy,accuracy,macro_f1,weighted_f1,recall_Normal,recall_Low,recall_Medium,recall_High
Baseline (no handling),0.721,0.645,0.708,0.854,0.686,0.294,0.616
class_weight=balanced (v4 baseline),0.683,0.625,0.694,0.718,0.662,0.57,0.794
"MLP (scaled, Baseline (no handling))",0.693,0.596,0.673,0.843,0.659,0.19,0.605
