method,accuracy,precision_high,recall_high,f1_high,ari,nmi,silhouette,pr_auc_high,roc_auc_high
Local Outlier Factor (normal-only fit),0.9345211212477043,0.3218530196458889,0.4606839090435688,0.37895338045263083,0.3203969769536781,0.14628797961614445,0.3747086397443506,0.43015307812101367,0.767792174620634
One-Class SVM (normal-only fit),0.919481829404149,0.11304484164314832,0.12515188335358446,0.11879067468489991,0.06995037191349734,0.01145312761476837,0.7329570273734367,0.11040812873686164,0.6658900186726944
"DBSCAN (density, non-majority = High)",0.79975,0.06741882223445239,0.2845528455284553,0.10901001112347053,0.031620068287425765,0.004381240177197516,0.5611673309067307,,
Gaussian Mixture (2 components),0.8339053984885436,0.0648983295084592,0.21107446623850026,0.09927341007429177,0.028201052334975104,0.0028041553091208873,0.5982736245974343,0.07032160229885791,0.6476012119465204
Isolation Forest,0.9222292475837774,0.09613005831418979,0.09442805068564486,0.09527145359019265,0.05001189061098507,0.0064296984276152125,0.7407478416141114,0.11451858673877001,0.8035878023022787
KMeans (k=2),0.04599855478276579,0.04347858900243015,1.0,0.08333393604941307,-0.0047514758309164405,0.0011887189084812755,0.9314501800447578,0.025955900568360776,0.21570574204367388
"Agglomerative (Ward, k=2)",0.04125,0.03824451410658307,1.0,0.07367149758454106,-0.005561622617441166,0.0013290565805820348,0.93351351806178,,
