timestamp_ns,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,stall_ns,avg_stall_ns,max_stall_ns,latency_count,avg_runq_ratio,minor_faults,major_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,session_label
14361304056547,4416,3,pipewire-pulse,619,617,2,17,40760895,5673130,9209,33893,616,0,0,0,624,611,319488,0,0,1786,1111877,10504775,467,332,3736,2558,0,0,0,987,2009148,0,0,3424,806,35036,0,0,0,0,0,idle_baseline
14346681449951,105150,0,code,1,1,0,1,69851,17172,17172,17172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14389008959973,147214,11,gly-rayon-13,10,2,8,0,130485,4057,2028,2484,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14347091932761,146722,9,gly-rayon-9,2,2,0,1,306464,3637,1818,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14415420115586,53266,12,IPC I/O Child,235,228,7,27,15944606,2534346,10877,178765,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14367669425406,146895,14,docker,4,4,0,1,712614,13014,3253,4448,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14335662926014,105813,2,cpptools,1,1,0,0,57878,4799,4799,4799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14410943829780,3984,12,gmain,119,119,0,8,1871601,250819,2107,12123,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14413831953534,53266,10,IPC I/O Child,333,332,1,39,21352978,2833405,8560,49132,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14411434333760,57560,0,TaskCon~ller #5,9,9,0,2,1233511,43138,4793,11311,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
