accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc,quadratic_weighted_kappa,mean_absolute_error,mean_squared_error,average_severity_distance,adjacent_accuracy,severe_error_rate,model,fold
0.6315832353728512,0.6020160152467329,0.5755853360878604,0.5862225610071672,0.5755853360878604,0.43056627510297685,0.5176829743517994,0.45523108974732013,0.6462714882622005,0.45523108974732013,0.9218915490170975,0.0781084509829025,RandomForestClassifier,1
0.6386598476150714,0.5935976170619296,0.6273709040566335,0.6069506446789373,0.6273709040566335,0.43102458117630316,0.4918524950720333,0.44740168620765636,0.6331396629904092,0.44740168620765636,0.9207459207459208,0.07925407925407925,RandomForestClassifier,2
0.6491050243037159,0.5947691110356859,0.60918416384791,0.5975041626837386,0.60918416384791,0.4543485813462182,0.5196500377530558,0.4421778893777788,0.6396254232993158,0.4421778893777788,0.9161579395977792,0.08384206040222074,RandomForestClassifier,3
0.5143196147314054,0.38601110374502073,0.47278917066363974,0.383505564183984,0.47278917066363974,0.22353660857527283,0.11146984683054184,0.7732708280017682,1.391585045250448,0.7732708280017682,0.7339762231579927,0.2660237768420073,RandomForestClassifier,4
0.6098444097402973,0.4775723576706117,0.49121890446936156,0.4802861278724309,0.49121890446936156,0.3540121084240343,0.4206726690707915,0.5113193359939846,0.7751171264966163,0.5113193359939846,0.889571403782752,0.11042859621724796,RandomForestClassifier,5
0.6168135103993296,0.6029475514000081,0.547372411398522,0.5674210829513553,0.547372411398522,0.40168277938863617,0.4805621966189081,0.47817130087640686,0.6876709458908973,0.47817130087640686,0.9147801999557723,0.0852198000442277,ExtraTreesClassifier,1
0.6368159203980099,0.601226654780293,0.6014501289339085,0.6010818796517476,0.6014501289339085,0.4120647313114423,0.4865419907980342,0.4418119194238597,0.61110531259785,0.4418119194238597,0.9273910169432558,0.07260898305674425,ExtraTreesClassifier,2
0.6500264922020779,0.601402425355254,0.5795293255361565,0.589294265750531,0.5795293255361565,0.43558318111793276,0.5211668136051956,0.43059043055587554,0.6050012670183602,0.43059043055587554,0.9259715727153355,0.07402842728466447,ExtraTreesClassifier,3
0.5186701719284368,0.3797674462048163,0.4361362144866279,0.3826717691095127,0.4361362144866279,0.19810917617187324,0.08250163489816154,0.7458879091733941,1.3017355698764628,0.7458879091733941,0.7488076681478724,0.2511923318521276,ExtraTreesClassifier,4
0.6133263925039042,0.4869935449876242,0.46358134232294895,0.47125575580753903,0.46358134232294895,0.33290818750984547,0.41071659953512296,0.49109838625715774,0.7174156978425589,0.49109838625715774,0.9043090982705767,0.09569090172942334,ExtraTreesClassifier,5
0.6663485375760891,0.666651717208629,0.5787971753262764,0.6017203020355282,0.5787971753262764,0.4777500758330168,0.5310699514043783,0.4202562878990677,0.6135779047707725,0.4202562878990677,0.9234511574855387,0.0765488425144613,HistGradientBoostingClassifier,1
0.6885038676083453,0.6809643606377866,0.6248613746369669,0.64288061121902,0.6248613746369669,0.48680277552731743,0.5447569492773483,0.3761495552540329,0.5157081724245903,0.3761495552540329,0.9404724628605226,0.059527537139477435,HistGradientBoostingClassifier,2
0.7226611992904697,0.6785255263046766,0.63968274879517,0.6523907211958457,0.63968274879517,0.5424970360713887,0.6161209346519224,0.33859337925315025,0.471146536432537,0.33859337925315025,0.9437674215024534,0.05623257849754659,HistGradientBoostingClassifier,3
0.7094665332805993,0.545591542814212,0.483996140778242,0.508830800937401,0.483996140778242,0.3664297399419697,0.38220047186334094,0.37976641928204175,0.5667473187073959,0.37976641928204175,0.915024544587395,0.08497545541260498,HistGradientBoostingClassifier,4
