target,accuracy,precision,recall,f1,roc_auc
CPU,0.9135099738061656,0.9772522321247228,0.9288152083268987,0.9524182789185937,0.9319835795508677
Memory,0.8793644397110043,0.9638722623355687,0.8995534285165504,0.9306028166215444,0.9134401803841062
Cache,0.7725310152269652,0.4445984339269628,0.7178607391936747,0.549111345676547,0.8555328918548888
IO,0.8542068449382574,0.5405792442353217,0.8029257281764118,0.6461382610821951,0.9235434070719879
Lock,0.8832143576753692,0.5341612458111571,0.7543146642912816,0.6254298705195375,0.9285690066020952
ContextSwitch,0.7478051869548948,0.3740336354337639,0.6429768963402167,0.4729449273618672,0.8126056848205463
